symbol,market_cap,last_price,as_of_date
ADAMG,,24.83,2026-04-08
ADAMH,,25.21,2026-04-08
ADAMI,,24.95,2026-04-08
ADAMO,,24.46,2026-04-08
ATLCL,,25.06,2026-04-08
ATLCZ,,25.11,2026-04-08
BHFAL,,17.3294,2026-04-08
BPRE,,16.495,2026-04-08
CGABL,,17.4501,2026-04-08
DHCNL,,17.8,2026-04-08
EMP,,20.69,2026-04-08
FRMM,,2.13,2026-04-08
GAING,,25.46,2026-04-08
GAINI,,25.5,2026-04-08
GAINN,,25.18,2026-04-08
GAINZ,,24.05,2026-04-08
GECCG,,24.3201,2026-04-08
GECCH,,25.175,2026-04-08
GEGGL,,24.45,2026-04-08
GENB,,11.98,2026-04-08
GIX,,9.83,2026-04-08
GLND,,7.445,2026-04-08
GMEX,,0.4965,2026-04-08
GREEL,,21.48,2026-04-08
GRML,,0.3241,2026-04-08
HACQ,,9.9,2026-04-08
HCIC,,9.83,2026-04-08
HMH,,17.13,2026-04-08
HNNAZ,,25.05,2026-04-08
HQ,,8.5,2026-04-08
HSLV,,6.165,2026-04-08
HWCPZ,,22.62,2026-04-08
IACO,,9.82,2026-04-08
IEAG,,10,2026-04-08
INBKZ,,24.66,2026-04-08
JAN,,23.7,2026-04-08
JSM,,18.29,2026-04-08
KEEL,,2.11,2026-04-08
KRAQ,,9.888,2026-04-08
LEGO,,9.87,2026-04-08
MAKO,,6.67,2026-04-08
MDA,,29.495,2026-04-08
METCI,,25.1599,2026-04-08
METCZ,,25.2499,2026-04-08
MFICL,,25.235,2026-04-08
MLAA,,9.83,2026-04-08
MLCIL,,23.2,2026-04-08
MMED,,13.285,2026-04-08
MRDN,,6.84,2026-04-08
MRLN,,7.955,2026-04-08
MUZE,,9.84,2026-04-08
NEWTI,,25.4,2026-04-08
NEXR,,1.755,2026-04-08
NINE,,8.7601,2026-04-08
NMFCZ,,25.4099,2026-04-08
OGC,,33.67,2026-04-08
OIO,,3,2026-04-08
OIS,,11.395,2026-04-08
OKE,,86.33,2026-04-08
OKLO,,48.7,2026-04-08
OKTA,,79.71,2026-04-08
OXLCG,,24.76,2026-04-08
OXLCI,,25.38,2026-04-08
OXLCL,,23.675,2026-04-08
OXSQG,,23.93,2026-04-08
OXSQH,,25,2026-04-08
PAAC,,9.87,2026-04-08
PTOR,,9.8,2026-04-08
QUCY,,0.521,2026-04-08
RILYG,,23.48,2026-04-08
RILYN,,24.05,2026-04-08
RILYT,,17.9,2026-04-08
RILYZ,,16.48,2026-04-08
RNA,,13.58,2026-04-08
RWAYI,,25.2199,2026-04-08
RWAYL,,25.25,2026-04-08
SDEV,,1.77,2026-04-08
SUNB,,66.71,2026-04-08
SWKHL,,25.499,2026-04-08
SWMR,,41.2,2026-04-08
TMTS,,9.94,2026-04-08
TMUSI,,22,2026-04-08
TMUSL,,24.53,2026-04-08
TMUSZ,,21.7999,2026-04-08
TPGXL,,24.92,2026-04-08
TRINI,,25.165,2026-04-08
TRINZ,,25.33,2026-04-08
TSLA,,345.69,2026-04-08
VCX,,119,2026-04-08
VGNT,,27.7,2026-04-08
VIVO,,2.415,2026-04-08
VMET,,11.6,2026-04-08
WHFCL,,25.2099,2026-04-08
XELLL,,24.72,2026-04-08
XFLH,,9.9,2026-04-08
XNDU,,7.54,2026-04-08
XSLL,,9.86,2026-04-08
