name,count
Biotechnology,607
Banks - Regional,348
Shell Companies,236
Software - Application,227
Software - Infrastructure,170
Asset Management,150
Medical Devices,141
Capital Markets,93
Drug Manufacturers - Specialty & Generic,82
Aerospace & Defense,78
Oil & Gas E&P,76
Specialty Industrial Machinery,75
Internet Content & Information,74
Semiconductors,71
Information Technology Services,70
Packaged Foods,66
Medical Instruments & Supplies,58
Specialty Chemicals,58
Telecom Services,58
Oil & Gas Midstream,57
Auto Parts,55
Engineering & Construction,54
Restaurants,53
Entertainment,52
Gold,51
Medical Care Facilities,51
Oil & Gas Equipment & Services,51
Credit Services,50
Other Industrial Metals & Mining,50
Diagnostics & Research,49
Specialty Retail,49
(Unclassified),48
Electrical Equipment & Parts,48
Health Information Services,48
Real Estate Services,48
Electronic Components,47
Communication Equipment,46
Insurance - Property & Casualty,46
Specialty Business Services,46
Education & Training Services,44
REIT - Mortgage,43
Advertising Agencies,41
Utilities - Regulated Electric,41
Computer Hardware,40
Internet Retail,40
Marine Shipping,39
Building Products & Equipment,34
"Furnishings, Fixtures & Appliances",33
Leisure,33
Scientific & Technical Instruments,33
Apparel Retail,32
Household & Personal Products,32
Integrated Freight & Logistics,31
Auto Manufacturers,30
Semiconductor Equipment & Materials,30
Auto & Truck Dealerships,28
REIT - Retail,28
Conglomerates,27
Farm & Heavy Construction Machinery,26
Electronic Gaming & Multimedia,25
Apparel Manufacturing,24
Consulting Services,24
Packaging & Containers,23
Utilities - Renewable,23
Industrial Distribution,22
Insurance Brokers,22
REIT - Residential,22
Security & Protection Services,22
Solar,22
Steel,22
Drug Manufacturers - General,21
Insurance - Life,21
Rental & Leasing Services,21
Residential Construction,21
Farm Products,20
REIT - Office,20
Travel Services,20
Banks - Diversified,19
Consumer Electronics,19
Oil & Gas Refining & Marketing,19
REIT - Specialty,19
Waste Management,19
Airlines,18
Chemicals,18
Metal Fabrication,18
Oil & Gas Integrated,18
Pollution & Treatment Controls,18
Resorts & Casinos,18
Staffing & Employment Services,18
Building Materials,17
Insurance - Specialty,17
Other Precious Metals & Mining,17
Beverages - Non-Alcoholic,16
Broadcasting,16
REIT - Diversified,16
REIT - Healthcare Facilities,16
REIT - Industrial,16
Recreational Vehicles,16
Trucking,16
Utilities - Regulated Gas,16
Financial Data & Stock Exchanges,15
Footwear & Accessories,15
Personal Services,15
REIT - Hotel & Motel,15
Real Estate - Development,14
Utilities - Regulated Water,14
Agricultural Inputs,13
Food Distribution,13
Gambling,13
Uranium,13
Grocery Stores,12
Lodging,12
Medical Distribution,12
Mortgage Finance,12
Railroads,12
Healthcare Plans,11
Insurance - Diversified,11
Luxury Goods,11
Tobacco,10
Tools & Accessories,10
Beverages - Wineries & Distilleries,9
Discount Stores,9
Oil & Gas Drilling,9
Publishing,9
Airports & Air Services,8
Electronics & Computer Distribution,8
Insurance - Reinsurance,8
Utilities - Independent Power Producers,8
Beverages - Brewers,7
Financial Conglomerates,7
INVESTMENT ADVICE,7
Pharmaceutical Retailers,7
REAL ESTATE INVESTMENT TRUSTS,7
Utilities - Diversified,7
Coking Coal,6
Copper,6
Home Improvement Retail,6
Lumber & Wood Production,6
Silver,6
Thermal Coal,6
BLANK CHECKS,5
Business Equipment & Supplies,5
Confectioners,5
NATIONAL COMMERCIAL BANKS,5
Paper & Paper Products,5
Textile Manufacturing,5
Aluminum,4
Department Stores,4
"FIRE, MARINE & CASUALTY INSURANCE",3
RADIOTELEPHONE COMMUNICATIONS,3
BEVERAGES,2
BITUMINOUS COAL & LIGNITE MINING,2
ELECTRIC SERVICES,2
"INSURANCE AGENTS, BROKERS & SERVICE",2
MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,2
PERSONAL CREDIT INSTITUTIONS,2
PHARMACEUTICAL PREPARATIONS,2
Real Estate - Diversified,2
STATE COMMERCIAL BANKS,2
AIRCRAFT ENGINES & ENGINE PARTS,1
"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",1
CHEMICALS & ALLIED PRODUCTS,1
COMMODITY CONTRACTS BROKERS & DEALERS,1
ELECTRIC & OTHER SERVICES COMBINED,1
FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES,1
FINANCE SERVICES,1
GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,1
Infrastructure Operations,1
LABORATORY ANALYTICAL INSTRUMENTS,1
LIFE INSURANCE,1
MALT BEVERAGES,1
"METAL SHIPPING BARRELS, DRUMS, KEGS & PAILS",1
MISCELLANEOUS BUSINESS CREDIT INSTITUTION,1
MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS,1
MOTOR VEHICLES & PASSENGER CAR BODIES,1
RETAIL-CATALOG & MAIL-ORDER HOUSES,1
RETAIL-EATING PLACES,1
RETAIL-FURNITURE STORES,1
"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",1
SERVICES-AUTO RENTAL & LEASING (NO DRIVERS),1
"SERVICES-BUSINESS SERVICES, NEC",1
"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",1
SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION,1
SERVICES-PREPACKAGED SOFTWARE,1
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1
TELEVISION BROADCASTING STATIONS,1
WHOLESALE-HARDWARE & PLUMBING & HEATING EQUIPMENT & SUPPLIES,1
